,Area_day4.day0,Grayness_day4.day0,strain_FC6141,strain_FC8125,strain_FC8152,strain_FC8172,strain_FC8191,strain_FC8192,strain_IFM65656,Temperature_37,Temperature_RT,Medium_high,Medium_low
8152_37_poor_d4_03,26.88372007,0.250305075,0,0,1,0,0,0,0,1,0,0,1
8152_37_poor_d4_04,31.00398421,0.230431456,0,0,1,0,0,0,0,1,0,0,1
8152_37_poor_d4_05,28.26596713,0.170292495,0,0,1,0,0,0,0,1,0,0,1
8152_37_rich_d4_01,58.87834367,0.479627378,0,0,1,0,0,0,0,1,0,1,0
8152_37_rich_d4_02,62.23443388,0.515231315,0,0,1,0,0,0,0,1,0,1,0
8152_37_rich_d4_03,67.5906761,0.540466299,0,0,1,0,0,0,0,1,0,1,0
8152_37_rich_d4_04,50.22661293,0.555942199,0,0,1,0,0,0,0,1,0,1,0
8152_37_rich_d4_05,61.36825965,0.438771098,0,0,1,0,0,0,0,1,0,1,0
8152_rt_poor_d4_01,13.36938972,0.178708416,0,0,1,0,0,0,0,0,1,0,1
8152_rt_poor_d4_02,18.20453217,0.204754064,0,0,1,0,0,0,0,0,1,0,1
8152_rt_poor_d4_03,16.42413411,0.185866094,0,0,1,0,0,0,0,0,1,0,1
8152_rt_poor_d4_04,23.41451778,0.277967594,0,0,1,0,0,0,0,0,1,0,1
8152_rt_poor_d4_05,19.32139055,0.215680532,0,0,1,0,0,0,0,0,1,0,1
8152_rt_rich_d4_01,25.45484279,0.568879495,0,0,1,0,0,0,0,0,1,1,0
8152_rt_rich_d4_02,25.16693271,0.631664949,0,0,1,0,0,0,0,0,1,1,0
8152_rt_rich_d4_03,25.13314201,0.551883485,0,0,1,0,0,0,0,0,1,1,0
8152_rt_rich_d4_04,25.33466303,0.550578743,0,0,1,0,0,0,0,0,1,1,0
8152_rt_rich_d4_05,25.27951113,0.54986599,0,0,1,0,0,0,0,0,1,1,0
8172_37_poor_d4_01,10.44948574,0.200556861,0,0,0,1,0,0,0,1,0,0,1
8172_37_poor_d4_02,8.43093228,0.226313998,0,0,0,1,0,0,0,1,0,0,1
8172_37_poor_d4_03,10.76619808,0.194746426,0,0,0,1,0,0,0,1,0,0,1
8172_37_poor_d4_04,9.855615073,0.201514411,0,0,0,1,0,0,0,1,0,0,1
8172_37_poor_d4_05,15.64979036,0.211222043,0,0,0,1,0,0,0,1,0,0,1
8172_37_rich_d4_01,14.68289502,0.957128754,0,0,0,1,0,0,0,1,0,1,0
8172_37_rich_d4_02,9.384704319,1.065822608,0,0,0,1,0,0,0,1,0,1,0
8172_37_rich_d4_03,12.18027775,1.009396512,0,0,0,1,0,0,0,1,0,1,0
8172_37_rich_d4_04,9.122328627,1.024012071,0,0,0,1,0,0,0,1,0,1,0
8172_37_rich_d4_05,9.924967636,1.067378223,0,0,0,1,0,0,0,1,0,1,0
8172_rt_poor_d4_01,7.946144817,0.332014086,0,0,0,1,0,0,0,0,1,0,1
8172_rt_poor_d4_02,7.547698714,0.203651661,0,0,0,1,0,0,0,0,1,0,1
8172_rt_poor_d4_03,12.39303024,0.280022196,0,0,0,1,0,0,0,0,1,0,1
8172_rt_poor_d4_04,11.64632364,0.230087259,0,0,0,1,0,0,0,0,1,0,1
8172_rt_poor_d4_05,12.80654055,0.3498515,0,0,0,1,0,0,0,0,1,0,1
8172_rt_rich_d4_01,7.948545939,1.005791954,0,0,0,1,0,0,0,0,1,1,0
8172_rt_rich_d4_02,8.375237829,1.011594104,0,0,0,1,0,0,0,0,1,1,0
8172_rt_rich_d4_03,8.434232686,1.054114482,0,0,0,1,0,0,0,0,1,1,0
8172_rt_rich_d4_04,11.25107358,1.020325166,0,0,0,1,0,0,0,0,1,1,0
8172_rt_rich_d4_05,11.33662988,1.059638554,0,0,0,1,0,0,0,0,1,1,0
8191_37_poor_d4_01,26.9882671,0.286343359,0,0,0,0,1,0,0,1,0,0,1
8191_37_poor_d4_02,25.32651479,0.297999822,0,0,0,0,1,0,0,1,0,0,1
8191_37_poor_d4_03,36.95263329,0.300083172,0,0,0,0,1,0,0,1,0,0,1
8191_37_poor_d4_04,36.19116271,0.383577498,0,0,0,0,1,0,0,1,0,0,1
8191_37_poor_d4_05,17.92873967,0.302102216,0,0,0,0,1,0,0,1,0,0,1
8191_37_rich_d4_01,53.60535123,0.750471287,0,0,0,0,1,0,0,1,0,1,0
8191_37_rich_d4_02,49.29081062,0.95442659,0,0,0,0,1,0,0,1,0,1,0
8191_37_rich_d4_03,47.20993503,0.951503334,0,0,0,0,1,0,0,1,0,1,0
8191_37_rich_d4_04,22.28299658,0.951601393,0,0,0,0,1,0,0,1,0,1,0
8191_37_rich_d4_05,35.57719566,0.821211262,0,0,0,0,1,0,0,1,0,1,0
8191_37_rich_d4_06,37.29532051,0.793349815,0,0,0,0,1,0,0,1,0,1,0
8191_rt_poor_d4_01,14.60931762,0.255020848,0,0,0,0,1,0,0,0,1,0,1
8191_rt_poor_d4_02,15.33439485,0.259401864,0,0,0,0,1,0,0,0,1,0,1
8191_rt_poor_d4_03,15.52445271,0.27077748,0,0,0,0,1,0,0,0,1,0,1
8191_rt_poor_d4_04,16.91283885,0.311348987,0,0,0,0,1,0,0,0,1,0,1
8191_rt_poor_d4_05,16.74097645,0.269845061,0,0,0,0,1,0,0,0,1,0,1
